Rec_ID,Last_Name,First_Name,Suffix,Specialty
115,Kang,Grace,MD,Endocrinology 
116,Kapoor,Moyna,MD,Nephrology  
117,Karcnik,Teresa,MD,Diagnostic Radiology
118,Karpoff,Howard M.,MD,General  Surgery
119,Katz,Jonathan,MD,Cardiovascular Disease 
120,Kaur,Gurvinder,MD,Family Practice- No Surgery
121,Kaw,Pankaj,MD,Internal Medicine 
122,Ke,Yong,MD,Pathology 
123,Khan,Erum,MD,Internal Medicine
124,Khan,Rehan,MD,Internal Medicine
125,Khankhel,Israr,MD,Family Medicine- No Surgery
126,Khanna,Ila,MD,Endocrinology 
127,Khanna,Neel,MD,Cardiology Disease 
128,Khokhar,Nida,MD,Internal Medicine Hospitalist
129,Khwaja,Sibat,MD,Family Practice- No Surgery
130,Kim,Katherine,MD,Gastroenterology/General 
131,King,Mary Ellen,DO,Urgent Care- Internal Medicine
132,Kipoliongo,Lezode,MD,Obstetrics & Gynecology 
133,Kirchhoff,Carl ,MD,Orthopedics Surgery  
134,Kleinman,Bryan,DO,Gastroenterology/General 
135,Kondagunta,Gnanamba,MD,Hematology/Oncology
136,Krebs,Genevieve,MD,Pediatrics
137,Kubenik,Melissa,MD,Obstetrics & Gynecology 
138,Kumar,Munish,DO,Pediatrics 
139,Kumar,Ranjan,MD,Internal Medicine
140,Lagodka,Sylvie,MD,Ob/Gyn
141,Lal,Balika,MD,Internal Medicine
142,Lau,Ontario,MD,Otorhinolaryngology 
143,Lau,Tien,DO,Internal Medicine 
144,Lazaroff,Florence,MD,Pediatrics 
145,Lee,Sophia,MD,Internal Medicine 
146,Leone,Matthew,MD,Endocrinologist
147,Lessner,Seth,MD,Cardiovascular Disease w/CC's
148,Levin,Liza,MD,Dermatology- Non-Cosmetic
149,Lim,Sangjin,DO,Physical Medicine & Rehab
150,Linneman,Nancy,MD,Pulmonary Diseases 
151,Lipelis,Konstantin,MD,Physical Medicine & Rehab
152,Llukani,Elton,MD,Internal Medicine 
153,Loden,Gary,MD,Urology
154,Lonergan,Eric,MD,Urgent Care
155,Loubnan,Zeyad,MD,Bariatrics & General Surgery
156,Lucero,April Angelique,MD,Family Practice- No Surgery
157,Ma,Kaiyu,MD,Neurology 
158,Mahmood,Saeed,MD,Urgent Care
159,Mai,Herman,MD,Internal Medicine
160,Makui,Sheyda,MD,Family Practice- No Surgery
161,Malhotra,Sandeep,MD,General Surgery
162,Malik,Aaqib,MD,Internal Medicine 
163,Mallick,Abida,MD,Pediatrics 
164,Manheimer,Eric,MD,Cardiovascular Disease w/CC's
165,Mannava,Rajendra,MD,Internal Medicine-Hospitalist
166,Marceus,Sherley,MD,Obstetrics & Gynecology
167,Masood,Adeel,MD,Internal Medicine-Hospitalist
168,Massih,Shawkat G.,MD,Family Practice- No Surgery
169,Mathew,Liby,MD,Internal Medicine 
170,Mattingly,Christine,MD,Diagnostic Radiology
171,Martirosian,Richard,DO,Urgent Care
172,McLaughlin,James,MD,Cardiovascular Disease 
173,Meka,Rajana,MD,Family Practice- No Surgery
174,Mercado,Maria Kristin,MD,Cardiovascular Disease 
175,Mir,Sajid,MD,Internal Medicine 
176,Monzidelis,Constantine,MD,Cardiovascular Disease
177,Moscato,Vincent,MD,Ophthalmology 
178,Myat,Khin,MD,Internal Medicine 
179,Myung,Yoon,MD,Ophthalmology 
180,Nadpara,Kajal N.,MD,Urgent Care
181,Nair,Malloy,MD,Infectious Disease 
182,Nasser,Jonathan,MD,Internal Medicine 
183,Nelson,Peggy,MD,Endocrinology 
184,Nici,Anthony,MD,Gastroenterology/General 
185,Nicoll,Laura,MD,Family Practice- No Surgery
186,Nuamah,Jedidah,DO,Ob/Gyn
187,Odunuga,Olufunmilayo,MD,Obstetrics & Gynecology 
188,Orengo,Amanda,MD,Family Practice- No Surgery
189,Osman,Sami,MD,Internal Medicine 
190,Otto,Christian,MD,Urgent Care
191,Pan,Lawrence,MD,Diagnostic Radiology
192,Panda,Tapti,MD,Obstetrics & Gynecology 
193,Patel,Archit,MD,Hand Sugery
194,Patel,Mitul,MD,Cardiology  
195,Perl,Rachel,DPM,Podiatry Surgical
196,Peng,Xiangmin,MD,Neurology 
197,Perry,Manuel,MD,Hematology/Oncology
198,Phyu,Sabai,MD,Internal Medicine 
199,Pidkaminetskiy,Vasyl,MD,Urgent Care
200,Pinkas,Daphne,MD,Orthopedics Surgery  
201,Pinto,Eduardo,MD,Internal Medicine 
202,Pomykala,Matthew,DO,Ophthalmology 
203,Pop,Alexander,MD,Gastroenterology
204,Qaqish,Saed,MD,Family Practice- No Surgery
205,Quilatan,Romeo L.,Jr.,Internal Medicine- No Surgery
206,Rahman,Andreea ,MD,Internal Medicine 
207,Rahman,Riaz,MD,Internal Medicine 
208,Rajkumar,Christopher,MD,Internal Medicine 
209,Ranin-Lay,Maria,MD,Internal Medicine 
210,Rappaport,Marc,DO,Hematology/Oncology
211,Rehman,Amina,MD,Internal Medicine
212,Rehmani,Muhammad,MD,Urgent Care
213,Remenar,Lin-Lin,MD,Pediatrics 
214,Reynolds,Amika,MD,Family Medicine-Hospitalist 
215,Ricanor,Rainier,MD,Pain Medicine
216,Roman-Rodriguez,Christian,MD,Obstetrics & Gynecology 
217,Rowe,Steven,MD,Urological 
218,Rudnick,Jonathan,DO,Physical Medicine & Rehab  
219,Ruffy,Ramon,MD,Ophthalmology 
220,Rydell,Timothy,MD,Obstetrics & Gynecology 
221,Sajnani,Ria ,DPM,Podiatry
222,Salomon,Adrienne,MD,Neurology 
223,Schenkman,Emmanuel,MD,Urology 
224,Schramm,Christopher,MD,Urgent Care
225,Schulze,Paul,DO,Diagnostic Imaging
226,Scoyni,Robert,MD,Gastroenterology/General 
227,Selbo,Scot,MD,Internal Medicine 
228,Sethi,Gurvinder,MD,Hematology/Oncology
229,Shah,Bhakti,MD,Rheumatology 
230,Shah,Manan,MD,Obstetrics & Gynecology- Major surgery
231,Shah,Parth,MD,Family Practice- No Surgery
232,Shamim,Zaineb,MD,Internal Medicine/Hospitalist
233,Shapley,Lee,MD,Internal Medicine  
234,Sharaiha,Talal,MD,Internal Medicine/Hospitalist
235,Sharma,Puja,MD,Urgent Care
236,Siddiqui,Imtiyaz,DO,Internal Medicine 
237,Silverio,Carl,MD,Diagnostic Radiology 
238,Silverman,Gary,MD,Cardiovascular Disease 
239,Singh,Manoranjan,MD,Urgent Care 
240,Singh,Sandeep,MD,Cardiovascular Disease 
241,Sinyor,Daniel,MD,Pediatrics 
242,Smotra,Sumeet,MD,Internal Medicine 
243,Sobolev,Maria,MD,Cardiovascular Disease 
244,Somberg,Lucia,MD,Urgent Care
245,Spencer,Gregory,MD,Internal Medicine
246,Spinowitz,Sam,MD,Otorhinolaryngology  
247,Spoto,Amy,MD,Pediatrics 
248,Stoll,Christopher,MD,Urgent Care
249,Subbiah,Rajan Sadagopal K.,MD,Pulmonary Disease with Bronchoscipies
250,Sulangi-Lorenc,Sheryl,MD,Family Practice- No Surgery
251,Syed,Rafeel,MD,Nephrology 
252,Tapia,Nilson,DO,Rheumatology 
253,Tawil,Laurence,MD,Internal Medicine
254,Tawil,Ramzi,MD,Family Practice- No Surgery
255,Tawil,Rashmi,MD,Internal Medicine 
256,Tetelman,Emily,DO,Obstetrics & Gynecology
257,Tolis,Arthur F.,MD,Internal Medicine 
258,Tomlinson,Daniel,MD,Orthopedics Surgery  
259,Ton,Quang,MD,Endocrinology 
260,Tran,Thien-Duy,MD,Family Medicine- Hospitalist
261,Trapp,Kevin,MD,Orthopedics Surgery  
262,Traub,Michael,MD,Family Practice- No Surgery
263,Tsai,Tsai-Lung,DO,Orthopedics Surgery  
264,Tsaur,Larisa,MD,Physical Medicine & Rehab
265,Uy,Guillermo,MD,General Surgery
266,Vaidya,Noaman,MD,Diagnostic Radiology
267,Villegas,Miriam,DO,Internal Medicine 
268,Vital-Herne,Dimitri,MD,Internal Medicine 
269,Vladu,Sorel,DO,Pulmonary Diseases with Bronchoscopies
270,Weissman,Alicia,MD,Family Practice- No Surgery
271,Whyte-Connell,Stacey,DO,Family Practice- No Surgery
272,Winchester-Penny,Sherma,MD,Cardiovascular Disease 
273,Wood,Katherine,DPM,Podiatry Surgical
274,Wu,Victor,MD,Diagnostic Radiology 
275,Xie,Minhui,MD,Internal Medicine
276,Yang,Ying,MD,Cardiovascular Disease 
277,Yeddu,Mrilini,MD,Internal Medicine 
278,Young,Mae,MD,Hand Sugery
279,Yuen,Annabel,DO,Family Practice- No Surgery
280,Zabludovskiy,Aleksey,MD,Internal Medicine
281,Zdravkovic,Slavica,MD,Internal Medicine- Hospitalist
282,Zedek,Ilan,MD,Obstetrics & Gynecology 
283,Zhao,Qing-Hua,MD,Diagnostic Radiology 
414,Diana,Mary,MD,Hospitalist-OB/GYN
415,Innerfield,Michael,MD,Cardiovascular Disease- Minor Surgery
284,Petersel,Hilary,MD,Pediatrics
285,Rangadhama,Jyothi,MD,Obstetrics & Gynecology- Major surgery
286,Bissonette,Maya,NP,Nurse Practitioner  
287,Black,Julie,NP,Nurse Practitioner  
288,Bodnar,Dorothy,FNP,Nurse Practitioner  
289,Bowe,Kaitlin,FNP,Nurse Practitioner  
290,Branch,Kelsey,PA,Physician Assistant/Medical
291,Brodie,Geraldine,NP,Nurse Practitioner-Pulmonology
292,Brown,Athena,NP,Nurse Practitioner-Family Medicine
293,Byfield,Latoya,NP,Nurse Practitioner 
294,Cable,Mary,NP,Nurse Practitioner  
295,Cassidy,Christopher,PA-C,Physician Assistant/Medical
296,Cestaro,Anthony,PA,Physician Assistant-Orthopedic Surgery
297,Clearwater,Theresa,NP,Nurse Practitioner  
298,Colaco,Minu,PA,Physician Assistant/Medical
299,Colaco,Antonio,PA-C,Physician Assistant/Medical
300,Darrigo,Kimberly,NP,Nurse Practitioner  
301,Davis,Taisha,NP,Nurse Practitioner  
302,DiCostanzo,Gina,NP,Nurse Practitioner 
303,DiMase,Amy,PA-C,Physician Assistant/Medical
304,Dombroski,Melissa,PA,Physician Assistant/Surgical
305,Donovan,Edmund,NP,Nurse Practitioner  
306,Druke,Melissa,NP,Nurse Practitioner  
307,Dudgeon,Brian,PA,Physician Assistant/Surgical
308,Duggan,Katie,NP,Nurse Practitioner- Family Medicine
309,Eckardt,Elizabeth,NP,Nurse Practitioner 
310,Evans,Korey,PA,Physician Assistant/Surgical
311,Farrugia,Kimberly,PA,Physician Assistant/Surgical
312,Fick,Carisa,NP,Nurse Practitioner- Oncology
313,Finnegan,Claudia,ANP,Nurse Practitioner 
314,Fisher,Jaclyn,NP,Nurse Practitioner 
315,Fitzgerald,Therese,NP,Nurse Practitioner 
316,Flynn,Trevor,PA,Physician Assistant/Medical- Urgent Care
317,Frisbie,Jo Anne,NP,Nurse Practitioner 
318,Gomes-Rosenfeld,Raquel,PA,Physician Assistant/Medical
319,Gorelova,Victoria,PA-C,Physician Assistant/Medical
320,Grandolfo,Katrina,NP,Nurse Practitioner
321,Gray-O'Banks,Jaimie,NP,Nurse Practitioner 
322,Guzman,Janet,NP,Nurse Practitioner 
323,Hannan,Elyse,PA,Physician Assistant/Surgical
324,Heckman,Barbara,NP,Nurse Practitioner 
325,Heins,Becky,FNP,Nurse Practitioner 
326,Hujus,Amy,PA-C,Physician Assistant/Medical
327,Ingber,Kate,PA,Physician Assistant/Medical
328,Iorio,Nicholas,NP,Nurse Practitioner/ Psychiatry
329,Islam,Amir,FNP,Nurse Practitioner 
330,Joyce,Francesca,NP,Nurse Practitioner
331,Kotry,Carmen,PA,Physician Assistant/Surgical
332,Krachtua,Mihaela,NP,Nurse Practitioner-Endocrinology
333,Kroll,Justin,PA,Physician Assistant/Medical
334,Lakeman,Caitlin,NP,Nurse Practitioner 
335,Lehn,Jacob,PA-C,Physician Assistant/Surgical
336,Levy,Jennifer,PA,Physician Assistant/Surgical- Vascular Surgery
337,Louis,Emmanise,NP,Nurse Practitioner 
338,Ludmerer,Zohra,NP,Nurse Practitioner 
339,Manz,Alexis,PA,Physician Assistant/Medical
340,Mathew,Sheila,NP,Nurse Practitioner
341,McDonald,Katherine,NP,Nurse Practitioner 
342,Moran,Colleen,NP,Nurse Practitioner 
343,Moran,Meilig,FNP,Nurse Practitioner 
344,Morency,Joanne,FNP,Nurse Practitioner 
345,Noa,Maria,FNP,Nurse Practitioner 
346,O'Connell,Lois,FNP,Nurse Practitioner-Pallative Care
347,O'Keeffe,Shannon,NP,Nurse Practitioner- Dermatolgy
348,Ogumbo,Douglas,FNP,Nurse Practitioner 
349,Parahus,Erin,PA,Physician Assistant/Medical
350,Pavese,Heidi,NP,Nurse Practitioner 
351,Peraffan,Amanda,PA,Physician Assistant-Urgent Care
352,Phillip,Yolanda,NP,Nurse Practitioner 
353,Phillips,Cara,PA-C,Physician Assistant/Medical
354,Pirani,Nisha,PA,Physician Assistant/Surgical
355,Powell,Ashley,NP,Nurse Practitioner 
356,Powell,Nicholas,NP,Nurse Practitioner
357,Reynolds,Simone,NP,Nurse Practitioner
358,Rexhouse,Sandra,NP,Nurse Practitoner/Hospitalist
359,Rizkalla,Jessica,PA,Physician Assistant/Medical
360,Sandler,Jillian,PA,Physician Assistant/Medical
361,Scaglione,Tara,CNM,Certified Nurse Midwife
362,Schiffer,Roberta,NP,Nurse Practitioner 
363,Shamah,Jennifer,NP,Nurse Practitioner 
364,Smithem,Denise,ANP,Nurse Practitioner 
365,Starner,Julie,NP,Nurse Practitioner 
366,Sulemana,Deborah,NP,Nurse Practitioner- Primary Care
367,Tetler,Sandra,NP,Nurse Practitioner- Neurology
368,Turnbull,Morgan,NP,Nurse Practitioner 
369,Wright,Claudean,FNP,Nurse Practitioner/ Allergy Immunology
370,Yuengst,Jennifer,PA-C,Physician Assistant/Surgical
371,Zaccagnino,Mandi,NP,Nurse Practitioner-Dermatology
372,Zambetti,Corinne,NP,Nurse Practitioner 
373,Bagam,Samatha,MD,Pediatrics-No Surgery
374,Fuchs,Richard,MD,Pediatircs- No Surgery
375,Lynch,Patricia,DO,Pediatrics- No Surgery
376,Sacks,Sandra,MD,Plastic NOC- Major Surgery Reconstructive
377,Sliva,Renee,DPM,"Podiatry, Surgery"
378,Spencer,Deborah K.,MD,Obstetrics & Gynecology- Major surgery
379,Todd,Jacquline,MD,Obstetrics & Gynecology- Major surgery
380,Ward-Buckley,Katherine,DPM,"Podiatry, Surgery"
381,Del Salto,Marco,,Physical Therapist
382,Cuevas,Maribel,,Occupational Therapist
383,Byrne,Alicia,,Physical Therapist
384,Carrigan-McClinsey,Brenna,,Audiology
385,Meier,Suzanne,,Diabetes Educator
386,Ronen,Laura,,Diabetes Educator
387,Stegman Sakla,Robin,,LCSW
388,Taveras,Sandra,,LCSW
389,Cortez,Niah,,Physical Therapist
390,Walker,Charles,,Physical Therapist
391,Branch,Michele,,Genetic Counseling
392,Crowfoot,Daniel,,Physical Therapist
393,Carpenter-Sarmiento,Heather,,PsyD
394,Lourdes Gonzales,Maria,,PsyD
395,Villanoza,Richard,,Physical Therapist
396,Lynn Silverstein,Kara,,Physical Therapist
397,Jorrey,Tirzah,,DPT
398,Allan Aban,Jose,,Physical Therapist
399,Kaknis,John,OD,Optometrist
400,Khankhel,Israr,MD,
401,Somberg,Lucia,MD,
402,Shamin,Zaineb,MD,
403,Singh,Sandeep,MD,
404,Glover,Carlton,MD,
405,Kumar,Ranjan,DO,
406,Hnin,Khin,MD,
407,Llukani,Elton,MD,
408,Myat,Khin,MD,
409,Phyu,Sabai,MD,
410,Zdravkovic,Slavica,MD,
411,Ahmad,Sami,MD,
412,Harel,Ronen,DO,
413,Khan,Erum,MD,
